Executing: /usr/bin/kmutil showloaded
No variant specified, falling back to release
Index Refs Address            Size       Wired      Name (Version) UUID <Linked Against>
   94    2 0xffffff8002fbc000 0x22ff5    0x22ff5    com.apple.driver.corecapture (1.0.4) 5F8DB873-C992-3063-8589-2BC8EF56F96E <9 8 7 6 3 1>
   95    1 0xffffff800207a000 0x246ff9   0x246ff9   com.apple.iokit.IO80211Family (1200.13.0) CFBB689D-CBBF-3925-9EC4-1E0B482301C3 <94 55 53 27 23 10 9 8 7 6 3 1>
   96    0 0xffffff8004b14000 0xf55000   0xf55000   com.zxystd.AirportItlwm (2.4.0) 79271FA4-B28E-3B9C-880E-71511FFEF2DB <95 94 55 53 18 7 6 3 1>
   97    0 0xffffff8002d3a000 0x1000     0x1000     com.apple.private.KextAudit (1.0) C0E43F43-6A9A-3D82-9AC6-74F54777FE03 <19 9 8 7 6 3>
   98    0 0xffffff8002a76000 0x63ff5    0x63ff5    com.apple.iokit.IOUSBFamily (900.4.2) BCAB9AFD-EFBA-30D5-A7AA-4D5B46D5ED8A <38 36 18 9 7 6 3 1>
   99    0 0xffffff8002c00000 0x2ff5     0x2ff5     com.apple.driver.usb.AppleUSBHostPacketFilter (1.0) 6FA6A6F8-D00D-399E-8570-69195AFBE962 <38 36 9 8 7 6 3 1>
  100    0 0xffffff8003fb6000 0xf000     0xf000     aluveitie.SMCRadeonGPU (0.3.3) B176DE15-0543-3415-ADD3-EDB4D7C43C1E <61 60 57 18 13 9 7 6 3 2 1>
  101    0 0xffffff80018e4000 0x2000     0x2000     com.apple.AppleFSCompression.AppleFSCompressionTypeDataless (1.0.0d1) 32F47C44-DDC4-35C6-8D6C-56196AA91F22 <9 8 6 3 2 1>
  102    0 0xffffff80018e8000 0x11fc1    0x11fc1    com.apple.AppleFSCompression.AppleFSCompressionTypeZlib (1.0.0) E3B9676D-DBD9-3CC5-BA63-5D962C1D0919 <8 6 3 2 1>
  103    0 0xffffff8001c22000 0x4ff9     0x4ff9     com.apple.driver.AppleSyntheticGameController (11.6.3) 5E3BAE40-78F9-348B-8944-3F8F027D0F06 <77 8 6 3>
  104    0 0xffffff8001e6f000 0xcff4     0xcff4     com.apple.BootCache (40) BF7B4900-3457-3E4A-A9C6-00264707BEE7 <9 8 7 6 3 1>
  105    1 0xffffff8002076000 0x1ff9     0x1ff9     com.apple.filesystems.hfs.encodings.kext (1) 9BD193C1-E1B6-365D-B0D2-7999C320D40D <9 8 7 6 3 1>
  106    0 0xffffff8002012000 0x5dff5    0x5dff5    com.apple.filesystems.hfs.kext (650.140.2) 22C57BA7-C76F-3856-B7A8-51EB4CFE967B <105 9 8 7 6 3 1>
  107    2 0xffffff80028cd000 0x26ff4    0x26ff4    com.apple.iokit.IOSurface (352.50.1) 7CADA50D-8D9C-3062-995C-7A44CB17D810 <9 8 7 6 3 1>
  108    0 0xffffff8003078000 0x1dffc    0x1dffc    com.apple.filesystems.lifs (1) E8CF7290-C7AD-3979-B621-4898DF81556E <9 8 7 6 3 1>
  109    0 0xffffff8001773000 0x1000     0x1000     com.apple.driver.AppleBSDKextStarter (3) 2125999B-50BA-3CDD-878C-E14F3DB05ABE <6 3>
  110    0 0xffffff80030a3000 0xb000     0xb000     com.apple.filesystems.tmpfs (1) 87526A4F-CA23-3350-A218-34D34359F401 <9 8 7 6 3 1>
  111    0 0xffffff80018fe000 0x2000     0x2000     com.apple.driver.AppleFileSystemDriver (3.0.1) 4FA5BCFD-7F1F-348B-B05D-B75AC481E953 <29 6 3>
  112    0 0xffffff8002c05000 0x1cff8    0x1cff8    com.apple.driver.usb.AppleUSBHub (1.2) DB949ADD-C3E6-304C-A761-58A392C7E3A4 <38 36 17 7 6 3 1>
  113    2 0xffffff8002bf6000 0x3ffb     0x3ffb     com.apple.driver.usb.AppleUSBHostCompositeDevice (1.2) A2116552-E837-3AD8-BC08-DCA2EDDC63EE <38 36 8 7 6 3 1>
  114    1 0xffffff8001db9000 0x2000     0x2000     com.apple.driver.usb.networking (5.0.0) 5DDB0F1B-3AB6-319B-AC6D-5610CDDB7BCB <38 8 7 6 3 1>
  115    0 0xffffff8001d77000 0x1fff     0x1fff     com.apple.driver.usb.cdc (5.0.0) 0458F7CA-66B2-3762-AB09-276BFC16C65F <114 113 38 7 6 3 1>
  116    0 0xffffff8001bf7000 0x1fff     0x1fff     com.apple.driver.AppleUSBMassStorageInterfaceNub (556) 3E1BE380-9D78-3CF9-93A0-7A453A70969F <39 38 34 33 29 18 7 6 3 1>
  117    0 0xffffff800400c000 0xafd000   0xafd000   com.zxystd.IntelBluetoothFirmware (2.4.0) F9DD55B4-27C6-39D5-AAFC-C599DB3DEBCA <38 7 6 3>
  118    0 0xffffff8002822000 0x5000     0x5000     com.apple.iokit.SCSITaskUserClient (495) 02BAA684-694C-3D04-AF1F-7E51BCC2A5E1 <33 29 7 6 3 1>
  119    0 0xffffff8002cf2000 0x7ffe     0x7ffe     com.apple.driver.usb.IOUSBHostHIDDevice (1.2) B6D599FF-A040-3482-90D8-F45638467078 <77 38 36 7 6 3 1>
  120    0 0xffffff8003d49000 0xf000     0xf000     wtf.spinach.SMCAMDProcessor (1) 2FBDC65A-5FA8-3DB3-8D90-8D66C20C6D0D <72 61 57 18 13 9 7 6 3 2 1>
  122    5 0xffffff7f9569c000 0x3ffd     0x3ffd     com.apple.driver.IOPlatformPluginFamily (6.0.0d8) 794E588D-173C-3B13-8B9F-56FEEECFA72C <17 9 8 7 6 3>
  123    1 0xffffff7f956c9000 0x12ffa    0x12ffa    com.apple.driver.X86PlatformPlugin (1.0.0) 90429AC0-3B32-3F1F-8D25-D57DCBE58049 <122 38 19 17 9 8 7 6 3 1>
  124    1 0xffffff7f956b9000 0x9000     0x9000     com.apple.driver.IOPlatformPluginLegacy (1.0.0) C2F01DD8-BE96-31B0-A76C-AF7621B11BB9 <122 17 9 8 7 6 3>
  125    0 0xffffff7f956a3000 0xdff8     0xdff8     com.apple.driver.ACPI_SMC_PlatformPlugin (1.0.0) EB1EFAD6-DAAD-34C2-A363-DC8D875A4D65 <124 122 19 18 17 9 8 7 6 3>
  126    0 0xffffff7f94a35000 0x1ffa     0x1ffa     com.apple.driver.AppleFIVRDriver (4.1.0) A57A0D38-30F2-3A37-9F61-898067DEF070 <6 3>
  127    0 0xffffff7f951e1000 0xe000     0xe000     com.apple.driver.AppleIntelMCEReporter (115) 968B6E07-98E2-3745-9E46-AAE7A6334B2C <18 17 9 8 7 6 3 1>
  128    1 0xffffff8002843000 0x7000     0x7000     com.apple.iokit.IOSerialFamily (11) A3E94605-D31C-3252-8155-CE5491CC03AE <9 8 7 6 3 1>
  129    0 0xffffff7f957f1000 0x6000     0x6000     com.apple.driver.driverkit.serial (6.0.0) BC286628-554C-312F-9E15-3D21943F0BF6 <128 7 6 3 1>
  131    1 0xffffff7f9570b000 0x7d000    0x7d000    com.apple.plugin.IOgPTPPlugin (1240.15) CA8E306B-E6AB-3166-9731-B0F34045D305 <77 56 55 53 13 8 7 6 3 1>
  133    1 0xffffff800289a000 0x2ff5     0x2ff5     com.apple.iokit.IOSlowAdaptiveClockingFamily (1.0.0) E9B2A610-2B2A-35FA-9134-46B24D967530 <9 8 7 6 3 1>
